代碼,名稱,最近成交價,技術分(A),量能分(B),總分(7:3)
2908,特力,20.4,99,98,98.7
2887I,台新新光辛特,9.35,99,98,98.7
6641,基士德-KY,19.2,99,98,98.7
3050,鈺德,13.45,98,99,98.3
1528,恩德,15.6,98,99,98.3
1616,億泰,27.75,98,99,98.3
2371,大同,30.75,99,96,98.1
00710B,復華彭博非投等債,19.04,98,98,98.0
6834,天二科技,27.9,99,95,97.8
1453,大將,12.45,97,98,97.3
00895,富邦未來車,37.96,97,98,97.3
2460,建通,19.0,99,93,97.2
1210,大成,50.6,97,97,97.0
3028,增你強,38.9,99,92,96.9
2915,潤泰全,54.9,99,92,96.9
1720,生達,59.7,96,99,96.9
2102,泰豐,19.9,98,94,96.8
01001T,土銀富邦R1,11.49,97,96,96.7
00927,群益半導體收益,20.66,96,98,96.6
2913,農林,13.65,96,98,96.6
